Education,Gender,Province,Earnings
High school diploma,Male,Canada,55774
High school diploma,Male,NL,50121
High school diploma,Male,PEI,42454
High school diploma,Male,NS,48401
High school diploma,Male,NB,45895
High school diploma,Male,Que,48344
High school diploma,Male,Ont,55216
High school diploma,Male,Man,53615
High school diploma,Male,Sask,62199
High school diploma,Male,Alta,69774
High school diploma,Male,BC,59180
Apprenticeship certificate,Male,Canada,72955
Apprenticeship certificate,Male,NL,73800
Apprenticeship certificate,Male,PEI,53829
Apprenticeship certificate,Male,NS,60943
Apprenticeship certificate,Male,NB,58631
Apprenticeship certificate,Male,Que,53177
Apprenticeship certificate,Male,Ont,72135
Apprenticeship certificate,Male,Man,73086
Apprenticeship certificate,Male,Sask,86059
Apprenticeship certificate,Male,Alta,92580
Apprenticeship certificate,Male,BC,75344
College diploma,Male,Canada,67965
College diploma,Male,NL,71088
College diploma,Male,PEI,52992
College diploma,Male,NS,59236
College diploma,Male,NB,57922
College diploma,Male,Que,61450
College diploma,Male,Ont,67576
College diploma,Male,Man,65524
College diploma,Male,Sask,78176
College diploma,Male,Alta,87983
College diploma,Male,BC,69513
Bachelor's degree,Male,Canada,82082
Bachelor's degree,Male,NL,83115
Bachelor's degree,Male,PEI,67149
Bachelor's degree,Male,NS,72962
Bachelor's degree,Male,NB,74252
Bachelor's degree,Male,Que,75107
Bachelor's degree,Male,Ont,85645
Bachelor's degree,Male,Man,76677
Bachelor's degree,Male,Sask,84825
Bachelor's degree,Male,Alta,97733
Bachelor's degree,Male,BC,77168
High school diploma,Female,Canada,43254
High school diploma,Female,NL,33382
High school diploma,Female,PEI,34391
High school diploma,Female,NS,35025
High school diploma,Female,NB,35434
High school diploma,Female,Que,38487
High school diploma,Female,Ont,44928
High school diploma,Female,Man,42596
High school diploma,Female,Sask,44820
High school diploma,Female,Alta,51169
High school diploma,Female,BC,45563
Apprenticeship certificate,Female,Canada,38230
Apprenticeship certificate,Female,NL,36031
Apprenticeship certificate,Female,PEI,33784
Apprenticeship certificate,Female,NS,38547
Apprenticeship certificate,Female,NB,32516
Apprenticeship certificate,Female,Que,34436
Apprenticeship certificate,Female,Ont,37510
Apprenticeship certificate,Female,Man,37560
Apprenticeship certificate,Female,Sask,42571
Apprenticeship certificate,Female,Alta,49305
Apprenticeship certificate,Female,BC,43327
College diploma,Female,Canada,48599
College diploma,Female,NL,46358
College diploma,Female,PEI,43332
College diploma,Female,NS,41188
College diploma,Female,NB,41312
College diploma,Female,Que,45081
College diploma,Female,Ont,49649
College diploma,Female,Man,46646
College diploma,Female,Sask,51820
College diploma,Female,Alta,57580
College diploma,Female,BC,48353
Bachelor's degree,Female,Canada,68342
Bachelor's degree,Female,NL,70994
Bachelor's degree,Female,PEI,60157
Bachelor's degree,Female,NS,59551
Bachelor's degree,Female,NB,65219
Bachelor's degree,Female,Que,63305
Bachelor's degree,Female,Ont,70832
Bachelor's degree,Female,Man,65647
Bachelor's degree,Female,Sask,73996
Bachelor's degree,Female,Alta,80054
Bachelor's degree,Female,BC,62985
